metric,value
MAE,2.3782422087956854
RMSE,1.701537301039967
R2,0.9583478233874327
npar,30
fmin,2.5579290642420105
chisq,138.12816946906855
df,90
pvalue,8.38705608914081e-4
chisq.scaled,140.35041819806676
df.scaled,90
pvalue.scaled,5.444315987764847e-4
chisq.scaling.factor,0.9841664260247368
baseline.chisq,295.67800731542764
baseline.df,105
baseline.pvalue,0
baseline.chisq.scaled,295.2572980029855
baseline.df.scaled,105
baseline.pvalue.scaled,0
baseline.chisq.scaling.factor,1.0014248904778567
cfi,0.7475945435623685
tli,0.7055269674894299
cfi.scaled,0.735356179623256
tli.scaled,0.691248876227132
cfi.robust,0.7399170268821357
tli.robust,0.6965698646958249
nnfi,0.7055269674894299
rfi,0.4549830320138311
nfi,0.5328425988689981
pnfi,0.4567222276019983
ifi,0.7660023543729727
rni,0.7475945435623685
nnfi.scaled,0.691248876227132
rfi.scaled,0.4454255468978941
nfi.scaled,0.5246504687696234
pnfi.scaled,0.44970040180253434
ifi.scaled,0.7546960878470962
rni.scaled,0.735356179623256
nnfi.robust,0.6965698646958249
rni.robust,0.7399170268821357
logl,-659.9345040223084
unrestricted.logl,-590.8704192877741
aic,1379.8690080446167
bic,1418.7441140247465
ntotal,27
bic2,1325.5462680337725
scaling.factor.h1,0.9485718217270832
scaling.factor.h0,0.8417880088341222
rmsea,0.1407331910290883
rmsea.ci.lower,0.09139117726075256
rmsea.ci.upper,0.18582815235345063
rmsea.ci.level,0.9
rmsea.pvalue,0.004068563373771372
rmsea.close.h0,0.05
rmsea.notclose.pvalue,0.9749862986820192
rmsea.notclose.h0,0.08
rmsea.scaled,0.14394560329174128
rmsea.ci.lower.scaled,0.09502175603280646
rmsea.ci.upper.scaled,0.18902829061674534
rmsea.pvalue.scaled,0.003007250367508485
rmsea.notclose.pvalue.scaled,0.9804538705635765
rmsea.robust,0.14280146961071635
rmsea.ci.lower.robust,0.09468461079164252
rmsea.ci.upper.robust,0.1871770435784937
rmsea.pvalue.robust,0.0028844359987122425
rmsea.notclose.pvalue.robust,0.9803918592508958
rmr,0.27436675458132326
rmr_nomean,0.27436675458132326
srmr,0.11564812801534921
srmr_bentler,0.11564812801534921
srmr_bentler_nomean,0.11564812801534921
crmr,0.12363304344210811
crmr_nomean,0.12363304344210811
srmr_mplus,0.11564812256193073
srmr_mplus_nomean,0.11564812256193073
cn_05,23.116576984921924
cn_01,25.26109473112004
gfi,0.6164237723690816
agfi,0.48856502982544225
pgfi,0.4623178292768112
mfi,0.4101376690084047
ecvi,7.338080350706242
